task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20,task21,task22,task23,task24,forward_transfer,backward_transfer,forgetting,time,t-1-l-1,t-1-l-2,t-1-l-3,t-1-l-4,t-1-l-5,t-1-l-6,t-1-l-7,t-1-l-8,t-1-l-9,t-1-l-10,t-1-l-11,t-1-l-12,t-2-l-1,t-2-l-2,t-2-l-3,t-2-l-4,t-2-l-5,t-2-l-6,t-2-l-7,t-2-l-8,t-2-l-9,t-2-l-10,t-2-l-11,t-2-l-12,t-3-l-1,t-3-l-2,t-3-l-3,t-3-l-4,t-3-l-5,t-3-l-6,t-3-l-7,t-3-l-8,t-3-l-9,t-3-l-10,t-3-l-11,t-3-l-12,t-4-l-1,t-4-l-2,t-4-l-3,t-4-l-4,t-4-l-5,t-4-l-6,t-4-l-7,t-4-l-8,t-4-l-9,t-4-l-10,t-4-l-11,t-4-l-12,t-5-l-1,t-5-l-2,t-5-l-3,t-5-l-4,t-5-l-5,t-5-l-6,t-5-l-7,t-5-l-8,t-5-l-9,t-5-l-10,t-5-l-11,t-5-l-12,t-6-l-1,t-6-l-2,t-6-l-3,t-6-l-4,t-6-l-5,t-6-l-6,t-6-l-7,t-6-l-8,t-6-l-9,t-6-l-10,t-6-l-11,t-6-l-12,t-7-l-1,t-7-l-2,t-7-l-3,t-7-l-4,t-7-l-5,t-7-l-6,t-7-l-7,t-7-l-8,t-7-l-9,t-7-l-10,t-7-l-11,t-7-l-12,t-8-l-1,t-8-l-2,t-8-l-3,t-8-l-4,t-8-l-5,t-8-l-6,t-8-l-7,t-8-l-8,t-8-l-9,t-8-l-10,t-8-l-11,t-8-l-12,t-9-l-1,t-9-l-2,t-9-l-3,t-9-l-4,t-9-l-5,t-9-l-6,t-9-l-7,t-9-l-8,t-9-l-9,t-9-l-10,t-9-l-11,t-9-l-12,t-10-l-1,t-10-l-2,t-10-l-3,t-10-l-4,t-10-l-5,t-10-l-6,t-10-l-7,t-10-l-8,t-10-l-9,t-10-l-10,t-10-l-11,t-10-l-12,t-11-l-1,t-11-l-2,t-11-l-3,t-11-l-4,t-11-l-5,t-11-l-6,t-11-l-7,t-11-l-8,t-11-l-9,t-11-l-10,t-11-l-11,t-11-l-12,t-12-l-1,t-12-l-2,t-12-l-3,t-12-l-4,t-12-l-5,t-12-l-6,t-12-l-7,t-12-l-8,t-12-l-9,t-12-l-10,t-12-l-11,t-12-l-12,t-13-l-1,t-13-l-2,t-13-l-3,t-13-l-4,t-13-l-5,t-13-l-6,t-13-l-7,t-13-l-8,t-13-l-9,t-13-l-10,t-13-l-11,t-13-l-12,t-14-l-1,t-14-l-2,t-14-l-3,t-14-l-4,t-14-l-5,t-14-l-6,t-14-l-7,t-14-l-8,t-14-l-9,t-14-l-10,t-14-l-11,t-14-l-12,t-15-l-1,t-15-l-2,t-15-l-3,t-15-l-4,t-15-l-5,t-15-l-6,t-15-l-7,t-15-l-8,t-15-l-9,t-15-l-10,t-15-l-11,t-15-l-12,t-16-l-1,t-16-l-2,t-16-l-3,t-16-l-4,t-16-l-5,t-16-l-6,t-16-l-7,t-16-l-8,t-16-l-9,t-16-l-10,t-16-l-11,t-16-l-12,t-17-l-1,t-17-l-2,t-17-l-3,t-17-l-4,t-17-l-5,t-17-l-6,t-17-l-7,t-17-l-8,t-17-l-9,t-17-l-10,t-17-l-11,t-17-l-12,t-18-l-1,t-18-l-2,t-18-l-3,t-18-l-4,t-18-l-5,t-18-l-6,t-18-l-7,t-18-l-8,t-18-l-9,t-18-l-10,t-18-l-11,t-18-l-12,t-19-l-1,t-19-l-2,t-19-l-3,t-19-l-4,t-19-l-5,t-19-l-6,t-19-l-7,t-19-l-8,t-19-l-9,t-19-l-10,t-19-l-11,t-19-l-12,t-20-l-1,t-20-l-2,t-20-l-3,t-20-l-4,t-20-l-5,t-20-l-6,t-20-l-7,t-20-l-8,t-20-l-9,t-20-l-10,t-20-l-11,t-20-l-12,t-21-l-1,t-21-l-2,t-21-l-3,t-21-l-4,t-21-l-5,t-21-l-6,t-21-l-7,t-21-l-8,t-21-l-9,t-21-l-10,t-21-l-11,t-21-l-12,t-22-l-1,t-22-l-2,t-22-l-3,t-22-l-4,t-22-l-5,t-22-l-6,t-22-l-7,t-22-l-8,t-22-l-9,t-22-l-10,t-22-l-11,t-22-l-12,t-23-l-1,t-23-l-2,t-23-l-3,t-23-l-4,t-23-l-5,t-23-l-6,t-23-l-7,t-23-l-8,t-23-l-9,t-23-l-10,t-23-l-11,t-23-l-12,t-24-l-1,t-24-l-2,t-24-l-3,t-24-l-4,t-24-l-5,t-24-l-6,t-24-l-7,t-24-l-8,t-24-l-9,t-24-l-10,t-24-l-11,t-24-l-12,seed,area,ptm,prob_l,prob_type,prob_all_tasks,info,eval_freq,require_proto,fix_layers,fix_layers_n,feature_layers,feature_layers_n,dataset,filter_rate,model,lr,lr_scheduler,batch_size,n_epochs,freq_eval,use_gpu,pltf,auto_layer,auto_feature,auto_current_task
82.97,60.68,48.87,30.59,30.02,27.57,25.82,21.6,23.85,13.87,22.96,18.93,17.79,19.74,18.52,21.34,12.48,26.91,20.89,16.72,16.6,20.1,16.3,13.1,2.7,-83.66,83.66,3.94,4.95,11.54,29.12,18.13,13.19,29.67,31.87,30.22,42.31,70.88,74.73,2.2,18.03,20.14,33.59,32.92,16.93,29.43,49.59,50.21,64.89,69.0,63.94,2.18,13.07,26.3,15.1,33.73,29.24,18.76,42.42,35.62,49.02,67.17,61.26,7.07,10.24,14.84,7.77,20.25,17.68,8.75,23.98,37.02,43.52,49.34,50.81,19.05,9.12,14.95,21.39,26.63,33.49,30.34,29.37,37.12,50.37,47.3,41.91,7.08,8.41,10.91,13.5,15.15,16.79,13.87,28.96,47.57,46.02,52.79,44.07,8.77,8.24,9.1,19.41,30.59,26.93,37.43,30.13,39.92,45.4,53.97,48.93,10.5,7.73,8.9,15.72,21.48,27.31,28.81,40.93,43.78,46.5,46.74,38.8,15.2,10.51,12.94,14.11,26.11,21.49,35.09,35.75,45.31,49.91,49.52,47.77,9.56,9.47,15.49,9.11,24.83,28.29,20.87,29.97,39.16,36.52,37.88,37.36,9.43,9.07,11.52,16.82,28.69,25.56,35.72,49.06,48.44,46.25,47.37,43.37,10.23,8.92,12.96,19.36,26.91,27.63,40.21,42.53,52.22,54.11,54.94,48.03,6.27,9.87,18.21,14.78,21.93,25.28,30.68,37.35,46.09,42.3,41.27,40.03,13.49,9.19,17.28,19.38,31.61,30.36,40.46,48.16,45.83,49.64,47.67,43.92,13.11,11.55,17.57,15.93,31.97,25.31,39.33,47.77,54.01,53.41,51.15,50.6,16.86,11.3,21.36,17.43,31.29,21.43,39.92,44.27,41.92,39.88,50.25,48.61,13.55,11.41,19.12,16.65,27.16,24.5,40.38,41.63,47.52,48.17,47.94,44.94,9.8,13.52,17.43,17.61,23.54,30.89,43.28,50.91,53.06,54.18,54.33,49.01,8.23,12.71,20.17,14.01,24.52,25.9,37.54,46.55,50.82,56.1,54.44,50.1,12.15,11.32,16.07,17.01,27.0,24.94,30.7,41.14,50.42,48.36,50.12,43.08,9.69,11.33,19.49,17.33,28.25,26.02,37.53,41.57,46.44,53.58,50.94,40.83,10.51,11.21,18.48,18.45,24.46,25.76,43.26,54.2,53.7,54.57,55.31,47.0,10.26,11.63,17.63,13.58,21.54,29.63,38.33,37.88,40.35,44.52,49.4,46.15,12.07,11.67,16.56,14.73,27.42,29.56,32.26,29.26,25.35,39.67,50.85,50.08,18.38,0,NLP,gpt2,-1,inst,True,e412_inst_gpt2_vnla,1,False,none,8,[11],-1,seq-webred,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,gp,False,False,False
98.12,48.81,62.48,29.84,27.18,27.95,21.88,22.0,15.3,19.93,22.81,19.55,16.34,26.22,21.15,24.69,24.42,20.42,20.16,19.21,23.68,21.89,18.34,17.21,-1.24,-82.91,82.91,4.16,8.75,14.37,16.56,11.25,10.94,17.5,87.5,95.62,97.5,98.12,98.12,98.12,6.76,10.66,12.05,10.33,9.49,14.59,54.1,86.13,86.58,82.94,81.13,82.29,5.54,8.56,8.3,8.22,8.17,17.39,46.22,69.62,72.23,62.97,58.62,64.65,6.22,7.98,7.35,10.5,9.38,17.94,70.21,75.9,71.56,69.97,68.58,77.13,6.38,6.27,5.84,12.12,9.45,19.12,63.6,70.49,71.37,70.59,65.88,63.92,7.82,8.42,8.37,12.85,10.64,25.69,70.43,68.71,63.79,66.68,65.28,64.86,7.89,7.1,7.42,7.77,10.11,28.94,70.07,78.7,76.54,75.35,74.71,69.97,10.4,9.92,10.23,12.77,15.83,25.1,70.86,76.29,69.83,66.72,68.01,62.33,10.09,8.53,8.36,11.82,14.91,27.37,67.44,72.52,69.3,64.91,65.0,59.09,9.04,8.02,8.24,11.81,14.31,25.5,65.75,66.64,61.57,58.31,59.36,58.13,9.01,11.44,13.26,15.34,16.73,29.02,66.77,74.32,69.52,70.0,68.21,66.46,9.88,15.82,15.56,19.0,24.59,35.5,69.17,69.73,68.22,66.71,63.29,60.21,9.88,14.59,14.81,16.87,25.51,43.13,72.56,71.56,73.3,69.71,70.26,66.38,10.75,14.7,14.18,19.58,29.4,47.39,70.54,74.45,72.77,70.56,68.54,62.94,10.44,13.96,12.15,17.13,21.51,39.35,71.99,76.02,74.15,73.2,73.94,68.09,10.59,13.33,12.84,19.55,25.58,39.12,71.84,72.91,67.1,69.41,68.61,52.56,10.32,13.04,12.6,20.61,26.59,40.72,70.4,66.88,64.77,61.28,60.1,57.42,9.87,12.49,12.61,20.43,24.64,40.28,72.95,70.73,69.97,68.93,63.24,60.25,10.32,13.01,12.83,17.24,25.52,43.41,72.52,75.75,73.24,70.53,64.21,61.05,11.03,13.21,13.82,20.45,29.92,43.5,73.12,74.31,71.6,68.33,66.74,63.67,10.58,12.84,12.99,16.89,26.21,46.92,73.59,76.56,73.89,73.27,72.04,70.63,10.83,12.38,12.54,18.0,24.93,39.53,73.91,72.98,69.76,68.56,68.23,66.0,10.1,11.99,12.41,16.12,21.94,39.87,74.67,76.2,73.46,68.54,66.49,61.85,9.94,11.63,12.2,16.66,24.15,45.81,75.92,73.23,71.23,69.26,65.21,60.39,0,NLP,roberta,-1,inst,True,e412_inst_roberta_vnla,1,False,none,8,[11],-1,seq-webred,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,gp,False,False,False
92.93,43.68,28.64,24.66,31.25,29.73,21.35,17.12,23.17,19.62,18.88,17.36,20.64,19.96,16.32,16.9,18.74,16.15,12.35,18.27,13.51,16.45,17.95,16.06,-0.75,-74.12,74.12,4.3,22.22,16.33,33.5,38.72,38.38,44.11,49.49,55.05,56.57,68.52,68.86,67.34,12.99,9.67,4.27,12.64,11.07,24.16,13.14,39.98,34.08,44.93,49.0,49.33,14.14,10.15,10.03,9.88,6.71,3.73,10.01,33.61,32.14,44.15,42.5,41.7,17.87,15.26,16.87,17.12,14.98,23.12,25.54,29.9,33.45,36.35,35.24,36.12,20.74,25.44,19.03,24.91,20.5,12.63,7.96,24.79,30.77,34.79,35.77,36.19,18.64,27.16,20.84,21.28,21.18,9.99,18.79,30.22,26.18,28.41,27.87,27.6,22.71,36.78,29.35,28.65,28.05,22.16,37.33,41.07,41.06,39.86,38.89,37.76,21.48,41.51,25.82,23.21,5.35,9.98,39.29,41.62,40.03,40.76,40.86,38.66,20.76,36.79,43.12,34.76,19.61,37.37,36.67,39.03,38.15,36.73,36.26,35.92,23.15,37.74,37.91,38.93,22.54,43.16,35.39,38.58,39.94,37.79,37.04,38.88,22.65,48.04,39.21,42.75,20.84,33.58,32.16,38.31,36.69,36.95,37.66,38.25,19.52,44.76,41.54,26.14,16.35,34.03,37.62,39.21,37.4,37.57,38.72,37.99,20.84,39.22,27.63,15.94,11.44,38.79,39.93,38.02,38.82,37.68,38.39,37.63,21.0,42.62,44.49,15.77,36.42,43.98,41.64,44.11,45.47,43.54,45.16,44.14,21.76,44.05,29.84,24.33,29.36,48.01,43.65,40.1,39.98,38.75,36.55,35.88,20.98,36.83,35.21,26.26,30.94,46.01,42.55,38.9,40.82,39.73,39.0,40.16,20.81,40.66,41.6,32.57,35.57,44.73,44.29,40.94,37.66,35.47,34.87,35.7,22.23,40.71,39.29,32.33,43.29,44.42,42.27,40.43,39.36,36.91,36.83,35.41,20.82,37.17,38.0,30.36,37.15,40.63,40.86,41.52,39.85,39.07,40.3,38.21,22.61,34.89,44.49,39.19,39.89,37.72,36.75,33.26,31.27,29.87,31.15,32.51,23.3,40.6,44.44,45.38,42.53,41.74,41.25,38.84,39.8,38.98,39.01,38.13,22.8,42.99,42.46,49.55,47.72,41.4,42.96,39.53,39.87,40.55,40.8,40.74,22.56,45.16,50.22,51.05,46.21,41.43,40.85,37.95,38.26,36.97,37.52,36.32,23.78,49.35,54.37,52.43,51.75,46.75,46.5,41.61,42.3,42.5,42.72,40.83,0,NLP,albert,-1,inst,True,e412_inst_albert_vnla,1,False,none,8,[11],-1,seq-webred,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,gp,False,False,False
88.0,54.55,34.3,29.69,25.5,24.44,23.18,22.63,25.12,22.47,20.92,25.27,22.62,24.88,22.98,19.6,21.79,21.41,21.23,22.43,16.92,19.95,18.99,17.46,-2.39,-81.79,81.79,4.0,26.29,29.71,28.57,32.0,68.57,70.86,77.14,76.57,78.86,84.57,89.71,89.14,22.9,27.01,24.33,40.62,60.54,63.59,67.21,69.44,71.56,71.96,72.19,72.15,15.97,16.1,14.85,25.26,52.28,67.06,71.01,75.58,73.54,71.41,69.01,69.61,18.52,24.17,24.29,34.08,51.55,61.82,64.17,65.28,63.27,62.52,60.84,61.2,17.48,22.64,21.36,30.3,46.89,66.79,72.72,73.68,71.32,68.3,66.97,66.72,16.98,22.16,23.76,32.05,46.11,64.68,70.35,71.43,64.58,63.65,62.32,61.74,16.46,23.04,23.59,30.87,44.8,70.19,73.49,73.89,71.36,68.65,63.86,63.92,15.0,22.51,22.19,27.69,41.54,73.14,73.29,75.0,72.3,69.33,66.69,66.52,13.57,20.26,20.58,26.44,41.73,64.74,66.49,67.51,67.36,63.63,61.82,61.32,16.95,23.06,24.26,28.37,46.17,71.72,71.27,70.74,70.34,68.41,66.95,65.76,16.64,21.63,22.55,23.0,44.54,69.97,70.52,67.9,64.35,63.8,61.78,59.29,18.08,24.23,24.72,31.88,45.71,70.05,70.16,67.62,64.57,63.59,63.23,62.51,17.46,24.18,25.07,30.28,46.04,70.43,68.66,66.33,62.8,61.19,58.82,59.79,20.74,24.86,25.76,31.89,47.37,74.69,74.58,71.99,69.56,67.1,63.26,62.33,20.57,24.97,25.74,29.3,43.95,68.46,69.06,68.09,65.59,62.82,58.58,58.34,20.35,23.96,26.12,29.86,46.79,70.01,71.87,69.07,64.72,62.14,60.99,60.53,19.46,24.11,26.59,32.76,50.37,72.08,71.73,69.0,66.68,64.31,61.57,60.99,18.95,22.39,24.94,31.1,49.63,73.46,73.88,71.5,68.69,66.65,63.17,62.24,18.99,22.59,24.62,29.98,50.24,73.07,72.47,71.14,68.77,66.89,64.59,64.3,20.13,22.88,24.69,29.87,52.46,73.33,74.1,73.94,73.28,70.82,66.68,66.14,19.19,22.02,24.87,31.62,51.36,75.94,74.59,73.68,69.35,67.96,63.71,63.38,18.61,23.0,26.03,32.47,50.1,74.79,73.01,70.72,67.96,66.05,62.9,61.84,18.49,21.34,24.26,32.27,53.19,75.42,72.78,69.25,66.43,64.92,62.76,61.98,18.07,20.86,23.97,32.69,54.16,76.6,72.79,69.11,64.39,61.68,59.51,59.27,0,NLP,bert,-1,inst,True,e412_inst_bert_vnla,1,False,none,8,[11],-1,seq-webred,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,gp,False,False,False
98.24,67.71,38.54,29.89,39.25,28.75,30.27,21.07,23.46,17.33,20.81,25.05,16.61,22.42,21.29,21.84,23.03,17.9,21.63,18.44,22.29,15.42,19.84,17.5,5.02,-81.36,81.36,6.16,3.27,3.02,7.79,43.72,57.04,64.32,71.11,89.7,90.45,91.71,95.98,1.51,3.57,4.21,10.07,28.31,43.78,53.76,71.24,79.85,81.68,79.09,74.76,4.12,10.5,12.19,25.05,40.32,56.62,61.76,64.13,57.82,67.71,68.55,63.61,15.55,16.63,19.9,27.17,46.67,61.41,71.21,77.22,73.42,74.54,69.03,72.39,5.89,16.58,19.22,23.73,45.49,68.29,75.46,77.54,78.03,79.21,70.56,61.27,15.58,14.68,17.43,22.87,40.99,63.1,69.95,72.64,68.01,70.75,67.81,64.95,23.12,13.27,15.05,20.23,35.32,62.48,69.24,69.7,69.02,70.25,70.74,67.93,6.21,13.38,15.27,22.43,37.09,66.4,73.56,74.84,71.8,69.9,61.41,50.0,4.69,14.47,16.04,21.33,34.54,66.7,73.91,74.79,70.03,69.18,64.3,58.87,13.62,13.16,15.02,21.1,33.87,59.47,71.69,75.21,72.49,72.96,68.22,64.09,9.11,16.32,17.98,23.09,36.79,63.46,72.71,71.92,68.76,66.76,60.89,52.72,7.67,16.38,20.16,26.08,40.36,62.87,72.09,73.4,64.97,65.86,64.23,64.04,13.73,17.41,21.05,26.88,40.93,65.45,75.24,76.22,71.16,73.2,67.27,54.49,14.25,17.76,21.46,27.47,42.19,65.18,72.78,75.81,71.49,73.31,67.81,67.34,13.35,16.89,20.1,25.71,40.46,68.86,74.65,73.82,70.18,71.53,69.44,61.58,9.97,16.08,19.74,26.06,41.24,65.67,71.99,74.25,71.42,70.07,67.98,65.14,20.55,16.63,21.37,25.94,40.79,68.39,75.91,77.66,71.66,72.57,69.62,68.53,7.81,16.39,21.17,26.17,41.8,67.87,75.46,75.81,70.02,70.93,63.12,62.82,9.79,17.23,21.28,26.83,43.06,69.69,73.96,73.37,64.03,68.36,66.07,64.32,8.25,18.65,22.81,28.99,42.06,71.11,76.07,73.62,69.79,69.6,63.82,60.24,13.26,18.49,22.21,29.37,41.0,67.4,74.02,73.85,68.73,67.77,65.31,60.97,11.48,17.39,20.83,27.84,40.48,70.4,77.48,76.66,69.95,68.77,62.03,61.11,11.16,16.77,20.28,27.16,38.38,67.51,73.48,72.3,68.88,68.69,66.07,59.65,13.9,17.9,21.34,29.54,43.72,70.59,76.07,72.57,68.43,67.33,62.92,57.8,8.97,0,NLP,xlnet,-1,inst,True,e412_inst_xlnet_vnla,1,False,none,8,[11],-1,seq-webred,1.0,vanilla_nlp,1e-05,uniform,32,30,1,True,gp,False,False,False
